gene_name,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000000003,0,0,1,0,0,0,0,0.813381025,-0.202937923,0,-0.366045103,1,-0.40324978
ENSG00000000005,0.142857143,0,0.571428571,0,0,0,0,2.311050206,-0.202937923,0,0.0420257,0.8,-0.40324978
ENSG00000000419,0,0,0.75,0,0,0,0,0.342674732,-0.202937923,0,0.0420257,1,-0.40324978
ENSG00000000457,0.3,0.1,0.4,0.1,0,0,0,0.255759864,-0.202937923,0,0.654131906,0.571428571,-0.40324978
ENSG00000000460,0.25,0,0.75,0,0,0,0,0.703252874,-0.202937923,0,0.0420257,0.75,-0.40324978
ENSG00000000938,0,0,0.75,0,0,0,0,0.325190019,-0.202937923,0,0.0420257,1,0.916464502
ENSG00000000971,0.157894737,0.052631579,0.736842105,0,0,0,0,1.192665276,-0.202937923,0,2.490450521,0.823529412,0.256607361
ENSG00000001036,0,0,1,0,0,0,0,0.28153828,-0.202937923,0,0.0420257,1,-0.40324978
ENSG00000001084,0,0,0.75,0,0,0,0,0.343945523,-0.202937923,0,0.0420257,1,-0.40324978
ENSG00000001167,0,0,1,0,0,0,0,0.446623386,-0.202937923,0,-0.366045103,1,-0.40324978
ENSG00000001461,0,0,0.25,0,0.25,0,0,0.326853646,-0.202937923,0,-0.162009701,1,-0.40324978
ENSG00000001497,0.142857143,0,0.857142857,0,0,0,0,0.395930167,-0.202937923,0,0.654131906,0.857142857,0.256607361
ENSG00000001561,0,0,0.833333333,0.166666667,0,0,0,0.359388133,-0.202937923,0,0.654131906,1,-0.40324978
ENSG00000001617,0.5,0.25,0,0,0,0,0,0.89159944,-0.202937923,0,-0.366045103,0,0.916464502
ENSG00000001626,0.090909091,0.090909091,0.681818182,0,0.090909091,0.045454545,0,0.141839796,-0.202937923,0,2.490450521,0.882352941,0.916464502
ENSG00000001629,0,0,1,0,0,0,0,0.144739631,-0.202937923,0,0.246061102,1,-0.40324978
ENSG00000001630,0,0,0.75,0,0,0,0,0.265689223,-0.202937923,0,0.0420257,1,-0.40324978
ENSG00000001631,0.111111111,0,0.555555556,0.111111111,0.111111111,0,0,0.141706123,-0.202937923,0,0.654131906,0.833333333,0.256607361
ENSG00000002330,0,0,1,0,0,0,0,0.450374455,4.502046093,0,-0.366045103,1,1.576321644
ENSG00000002549,0.6,0.2,0.2,0,0,0,0,0.189015603,-0.202937923,0,-0.162009701,0.25,-0.40324978
ENSG00000002586,0,0,1,0,0,0,0,0.033819138,-0.202937923,0,0.0420257,1,-0.40324978
ENSG00000002587,0,0,1,0,0,0,0,0.209293881,-0.202937923,0,-0.366045103,1,-0.40324978
ENSG00000002726,0.333333333,0,0.666666667,0,0,0,0,0.349964292,-0.202937923,0,-0.162009701,0.666666667,-0.40324978
ENSG00000002745,0.5,0,0.25,0.25,0,0,0,0.015416343,2.149554085,1,-0.162009701,0.333333333,0.916464502
ENSG00000002746,0.318181818,0,0.636363636,0.045454545,0,0,0,0.03282014,-0.202937923,0,2.28641512,0.666666667,-0.40324978
ENSG00000002822,0,0,0.666666667,0,0,0,0,0.335100861,2.149554085,0,0.246061102,1,1.576321644
ENSG00000002834,0,0,0.5,0,0,0,0,0.466038506,-0.202937923,0,-0.162009701,1,-0.40324978
ENSG00000002919,0,0,0,0,0,0,0,0.0459698,-0.202937923,0,-0.570080505,0,-0.40324978
ENSG00000002933,1,0,0,0,0,0,0,0.233646166,-0.202937923,0,-0.570080505,0,-0.40324978
ENSG00000003096,0,0,0.545454545,0,0.090909091,0,0,1.947420951,-0.202937923,0,0.858167307,1,0.916464502
ENSG00000003137,0.142857143,0.142857143,0.571428571,0.142857143,0,0,0,1.219229578,-0.202937923,0,0.654131906,0.8,-0.40324978
ENSG00000003147,0.5,0,0.25,0.25,0,0,0,0.539277963,-0.202937923,0,-0.162009701,0.333333333,-0.40324978
ENSG00000003249,0,0,0,0,0,0,0,1.405609444,-0.202937923,0,-0.570080505,0,-0.40324978
ENSG00000003393,0.375,0,0.5,0,0,0,0,0.114114083,-0.202937923,0,0.246061102,0.571428571,-0.40324978
ENSG00000003400,0,0,0,0,0.333333333,0,0,0.587204632,-0.202937923,0,-0.366045103,0,0.916464502
ENSG00000003402,0.2,0,0,0,0,0,0,0.839882803,-0.202937923,0,-0.570080505,0,-0.40324978
ENSG00000003436,0,0,0.5,0,0,0,0,1.503873898,-0.202937923,0,-0.162009701,1,-0.40324978
ENSG00000003509,0.333333333,0,0.666666667,0,0,0,0,0.014442569,-0.202937923,0,-0.162009701,0.666666667,0.256607361
ENSG00000003756,0,0.142857143,0.428571429,0.142857143,0,0,0,0.400076574,-0.202937923,0,0.450096504,1,0.916464502
ENSG00000003987,0,0,0.4,0,0,0,0,0.054947087,-0.202937923,0,-0.162009701,1,0.916464502
ENSG00000004059,0,0,0,0,0,0,0,0.669744279,-0.202937923,0,-0.570080505,0,-0.40324978
ENSG00000004139,0,0.111111111,0.333333333,0.111111111,0.111111111,0,0,0.181499154,-0.202937923,0,0.450096504,1,-0.40324978
ENSG00000004142,0.5,0,0,0,0,0,0,0.351935032,-0.202937923,0,-0.570080505,0,-0.40324978
ENSG00000004399,0,0,0.666666667,0,0,0.333333333,0,0.095540226,-0.202937923,0,-0.162009701,1,0.916464502
ENSG00000004455,0,0,0,0,0,0,0,0.154868712,-0.202937923,0,-0.570080505,0,-0.40324978
ENSG00000004468,0,0,0.8,0,0,0,0,0.005853768,-0.202937923,0,0.246061102,1,-0.40324978
ENSG00000004478,0.666666667,0,0.333333333,0,0,0,0,1.364038299,2.149554085,0,-0.366045103,0.333333333,-0.40324978
ENSG00000004487,0,0,1,0,0,0,0,0.345117846,-0.202937923,0,0.0420257,1,4.875607349
ENSG00000004534,0,0,0.888888889,0,0,0,0.111111111,0.289564209,-0.202937923,0,1.062202709,1,-0.40324978
ENSG00000004660,0.2,0,0.4,0,0.2,0.2,0,0.002404954,-0.202937923,0,0.0420257,0.666666667,-0.40324978
ENSG00000004700,0.5,0,0.5,0,0,0,0,0.140161307,-0.202937923,0,-0.162009701,0.5,-0.40324978
ENSG00000004766,0.25,0.125,0.375,0.125,0,0,0,0.069092511,-0.202937923,0,0.450096504,0.6,-0.40324978
ENSG00000004776,0,0,0,1,0,0,0,4.036336221,-0.202937923,0,-0.366045103,0,-0.40324978
ENSG00000004777,0,0,1,0,0,0,0,0.469353648,-0.202937923,0,0.0420257,1,-0.40324978
ENSG00000004779,0,0,0,0,0,0,0,0.663926012,-0.202937923,0,-0.570080505,0,-0.40324978
ENSG00000004799,0,0,0.8,0,0,0,0,3.532813793,-0.202937923,0,0.246061102,1,-0.40324978
ENSG00000004809,0.25,0,0.75,0,0,0,0,0.00307388,-0.202937923,0,0.654131906,0.75,-0.40324978
ENSG00000004838,0.25,0,0.75,0,0,0,0,1.137496325,-0.202937923,0,0.0420257,0.75,0.256607361
ENSG00000004846,0.333333333,0,0.666666667,0,0,0,0,0.585909582,-0.202937923,0,0.858167307,0.666666667,-0.40324978
ENSG00000004848,0,0,1,0,0,0,0,0.162565669,-0.202937923,0,-0.366045103,1,-0.40324978
ENSG00000004864,0.285714286,0,0.571428571,0.142857143,0,0,0,0.241397064,-0.202937923,0,0.450096504,0.666666667,-0.40324978
ENSG00000004866,0.4,0,0.2,0,0.2,0,0,0.020176506,-0.202937923,0,-0.162009701,0.333333333,-0.40324978
ENSG00000004897,0.166666667,0.166666667,0.5,0.166666667,0,0,0,0.055821733,2.149554085,0,0.246061102,0.75,0.916464502
ENSG00000004939,0.166666667,0,0.833333333,0,0,0,0,0.050794783,-0.202937923,0,0.450096504,0.833333333,0.256607361
ENSG00000004948,0,0.166666667,0.333333333,0.166666667,0,0,0,0.261291343,-0.202937923,0,0.246061102,1,-0.40324978
ENSG00000004961,0.25,0,0.25,0,0,0,0,0.260586758,-0.202937923,0,-0.366045103,0.5,-0.40324978
ENSG00000004975,0.5,0,0.25,0,0,0,0,0.087993163,4.502046093,1,-0.366045103,0.333333333,1.576321644
ENSG00000005007,0.166666667,0,0.666666667,0,0,0,0,0.276370134,-0.202937923,0,0.246061102,0.8,4.215750208
ENSG00000005020,0,0,1,0,0,0,0,1.164742045,-0.202937923,0,-0.162009701,1,0.916464502
ENSG00000005059,0,0,1,0,0,0,0,0.43225329,-0.202937923,0,-0.366045103,1,-0.40324978
ENSG00000005073,0.333333333,0,0.666666667,0,0,0,0,0.172789074,-0.202937923,0,-0.162009701,0.666666667,-0.40324978
ENSG00000005075,0.25,0,0.25,0,0,0,0,0.690535875,-0.202937923,0,-0.366045103,0.5,0.256607361
ENSG00000005100,1,0,0,0,0,0,0,0.075024107,-0.202937923,0,-0.570080505,0,-0.40324978
ENSG00000005102,0.5,0,0.5,0,0,0,0,2.2788084,-0.202937923,0,-0.366045103,0.5,0.256607361
ENSG00000005108,0.217391304,0.043478261,0.652173913,0,0.043478261,0,0,0.555571273,-0.202937923,0,2.694485923,0.75,-0.40324978
ENSG00000005156,0.25,0.083333333,0.583333333,0,0,0,0,0.596473694,-0.202937923,0,0.858167307,0.7,1.576321644
ENSG00000005175,0,0.25,0.75,0,0,0,0,0.251580839,-0.202937923,0,0.0420257,1,1.576321644
ENSG00000005187,0.2,0,0.6,0,0,0,0,0.734847352,-0.202937923,0,0.0420257,0.75,-0.40324978
ENSG00000005194,0,0.5,0.5,0,0,0,0,0.265327032,-0.202937923,0,-0.162009701,1,-0.40324978
ENSG00000005206,0.333333333,0,0.333333333,0,0,0,0,0.359602384,-0.202937923,0,-0.366045103,0.5,-0.40324978
ENSG00000005238,0,0,0.666666667,0,0,0,0,0.11985179,-0.202937923,0,-0.162009701,1,0.256607361
ENSG00000005243,0,0,0,0,0,0,0,0.802250124,-0.202937923,0,-0.570080505,0,-0.40324978
ENSG00000005249,0,0,0.75,0,0,0.25,0,1.86330757,-0.202937923,0,0.0420257,1,2.896035926
ENSG00000005302,0.307692308,0.076923077,0.307692308,0,0.153846154,0,0,0.010182397,-0.202937923,0,0.450096504,0.5,-0.40324978
ENSG00000005339,0.1,0,0.7,0.15,0.05,0,0,0.115172385,6.854538101,0,2.490450521,0.875,11.47417876
ENSG00000005379,0.090909091,0.090909091,0.545454545,0,0.090909091,0,0,0.241528651,-0.202937923,0,0.858167307,0.857142857,0.256607361
ENSG00000005381,0.6,0,0.4,0,0,0,0,0.113451928,-0.202937923,0,-0.162009701,0.4,-0.40324978
ENSG00000005421,0,0.142857143,0.571428571,0,0,0,0,0.025744096,-0.202937923,0,0.450096504,1,-0.40324978
ENSG00000005436,0,0,0.5,0,0,0,0,0.21878352,-0.202937923,0,-0.366045103,1,0.256607361
ENSG00000005448,0.333333333,0,0.666666667,0,0,0,0,0.664555126,-0.202937923,0,-0.162009701,0.666666667,-0.40324978
ENSG00000005469,0.142857143,0,0.571428571,0.142857143,0,0,0,0.009950959,-0.202937923,0,0.450096504,0.8,-0.40324978
ENSG00000005471,0.285714286,0.214285714,0.428571429,0.071428571,0,0,0,0.077724606,-0.202937923,0,1.062202709,0.6,-0.40324978
ENSG00000005483,0.055555556,0.111111111,0.666666667,0,0,0.055555556,0,0.390708444,-0.202937923,0,2.28641512,0.923076923,0.916464502
ENSG00000005513,0,0,1,0,0,0,0,0.44394747,-0.202937923,0,-0.366045103,1,-0.40324978
ENSG00000005700,0.111111111,0,0.666666667,0.111111111,0.111111111,0,0,0.022506781,-0.202937923,0,0.858167307,0.857142857,0.916464502
ENSG00000005801,0.5,0,0.5,0,0,0,0,0.011793182,-0.202937923,0,-0.366045103,0.5,-0.40324978
ENSG00000005810,0.125,0.125,0.71875,0,0,0,0,1.044790239,-0.202937923,0,3.918698334,0.851851852,-0.40324978
ENSG00000005812,0.5,0,0.5,0,0,0,0,0.61526213,-0.202937923,0,-0.366045103,0.5,-0.40324978
ENSG00000005844,0.222222222,0,0.555555556,0,0.111111111,0,0,0.565810326,-0.202937923,0,0.450096504,0.714285714,0.256607361
ENSG00000005882,0,0,1,0,0,0,0,0.741392781,-0.202937923,0,-0.366045103,1,-0.40324978
ENSG00000005884,0.444444444,0,0.111111111,0.111111111,0.111111111,0,0,0.435126356,6.854538101,0,0.0420257,0.2,0.256607361
ENSG00000005889,0.2,0,0.4,0,0,0,0,0.172585353,-0.202937923,0,-0.162009701,0.666666667,-0.40324978
ENSG00000005893,0.181818182,0.090909091,0.272727273,0,0,0,0,0.130245031,-0.202937923,0,0.0420257,0.6,-0.40324978
ENSG00000005961,0.2,0,0.4,0.2,0.2,0,0,0.074610319,6.854538101,0,0.0420257,0.666666667,0.916464502
ENSG00000005981,0,0,0.666666667,0.333333333,0,0,0,0.146291997,-0.202937923,0,0.0420257,1,-0.40324978
ENSG00000006007,0,0,1,0,0,0,0,0.29950834,-0.202937923,0,-0.366045103,1,0.256607361
ENSG00000006016,0,0,1,0,0,0,0,0.075027619,-0.202937923,0,-0.366045103,1,-0.40324978
ENSG00000006025,0.5,0,0.25,0,0,0,0,0.03727794,-0.202937923,0,-0.366045103,0.333333333,-0.40324978
ENSG00000006042,0.5,0,0.5,0,0,0,0,0.511438443,-0.202937923,0,-0.366045103,0.5,-0.40324978
ENSG00000006059,0,0,1,0,0,0,0,0.042736676,2.149554085,0,-0.162009701,1,-0.40324978
ENSG00000006062,0,0,0.5,0.5,0,0,0,0.362222401,2.149554085,0,-0.162009701,1,1.576321644
ENSG00000006071,0.25,0,0.5625,0,0.125,0,0,0.195949626,-0.202937923,0,1.470273513,0.692307692,-0.40324978
ENSG00000006116,0,0,0.8,0,0,0,0,0.005576889,2.149554085,0,0.246061102,1,-0.40324978
ENSG00000006118,0,0,0.666666667,0,0,0,0,1.744632976,-0.202937923,0,-0.162009701,1,-0.40324978
ENSG00000006125,0.333333333,0,0.333333333,0,0.166666667,0,0,0.28068757,-0.202937923,0,0.0420257,0.5,3.555893067
ENSG00000006128,1,0,0,0,0,0,0,0.544317012,-0.202937923,0,-0.570080505,0,-0.40324978
ENSG00000006194,0.333333333,0,0.666666667,0,0,0,0,0.300415978,-0.202937923,0,0.246061102,0.666666667,-0.40324978
ENSG00000006282,1,0,0,0,0,0,0,0.301134077,-0.202937923,0,-0.570080505,0,-0.40324978
ENSG00000006283,0.388888889,0,0.388888889,0,0.111111111,0,0,0.207734125,2.149554085,0,0.858167307,0.5,-0.40324978
ENSG00000006377,0.4,0,0.6,0,0,0,0,0.109416574,-0.202937923,0,0.0420257,0.6,-0.40324978
ENSG00000006432,0.166666667,0,0.666666667,0,0,0,0,0.223253037,-0.202937923,0,0.246061102,0.8,-0.40324978
ENSG00000006451,0,0,0.5,0,0,0,0,0.200018605,-0.202937923,0,-0.366045103,1,2.236178785
ENSG00000006453,0.416666667,0,0.333333333,0,0,0,0,0.842307473,-0.202937923,0,0.246061102,0.444444444,0.256607361
ENSG00000006459,0,0,0.6,0.2,0,0,0,0.356070916,-0.202937923,0,0.246061102,1,-0.40324978
ENSG00000006468,0.25,0,0.625,0,0,0,0,0.760499725,-0.202937923,0,0.450096504,0.714285714,-0.40324978
ENSG00000006530,0,0,0.5,0,0.166666667,0,0,0.152977473,-0.202937923,0,0.246061102,1,-0.40324978
ENSG00000006534,0.333333333,0,0.5,0,0,0,0,0.234306438,-0.202937923,0,0.0420257,0.6,-0.40324978
ENSG00000006555,0.5,0,0.5,0,0,0,0,0.00991736,-0.202937923,0,-0.366045103,0.5,-0.40324978
ENSG00000006576,0,0,0.5,0,0,0.166666667,0,0.452518795,-0.202937923,0,0.0420257,1,-0.40324978
ENSG00000006606,0.5,0,0,0,0,0,0,0.044742789,-0.202937923,0,-0.570080505,0,-0.40324978
ENSG00000006607,0,0.142857143,0.714285714,0,0,0,0,0.117139662,-0.202937923,0,0.654131906,1,-0.40324978
ENSG00000006611,0,0.083333333,0.333333333,0,0.083333333,0,0,0.022834497,-0.202937923,0,0.450096504,1,1.576321644
ENSG00000006625,0,0,0,0,0,0,0,1.191118642,-0.202937923,0,-0.570080505,0,-0.40324978
ENSG00000006634,1,0,0,0,0,0,0,0.740817763,2.149554085,0,-0.570080505,0,-0.40324978
ENSG00000006638,0,0,0,0,0,0,0,0.18382986,-0.202937923,0,-0.570080505,0,-0.40324978
ENSG00000006652,0.4,0,0.4,0,0,0,0,0.519790196,-0.202937923,0,-0.162009701,0.5,-0.40324978
ENSG00000006659,0,0,0.5,0,0,0,0,0.013958358,-0.202937923,0,-0.162009701,1,0.916464502
ENSG00000006695,0.166666667,0,0.5,0.166666667,0,0,0,0.07520181,-0.202937923,0,0.246061102,0.75,-0.40324978
ENSG00000006704,0.5,0,0,0,0,0,0,0.862577044,-0.202937923,0,-0.570080505,0,-0.40324978
ENSG00000006712,0,0.25,0.25,0,0,0,0,0.331856466,-0.202937923,0,-0.162009701,1,0.256607361
ENSG00000006715,0,0,0.5,0,0.25,0,0,0.072161134,-0.202937923,0,0.654131906,1,0.916464502
ENSG00000006740,0.6,0,0,0,0,0,0,0.184201145,-0.202937923,0,-0.570080505,0,-0.40324978
ENSG00000006744,0.444444444,0,0.444444444,0.111111111,0,0,0,0.064341745,-0.202937923,0,0.246061102,0.5,-0.40324978
ENSG00000006747,0.125,0,0.25,0,0.375,0,0,0.195813768,-0.202937923,0,0.246061102,0.666666667,-0.40324978
ENSG00000006756,1,0,0,0,0,0,0,0.163295901,-0.202937923,0,-0.570080505,0,-0.40324978
ENSG00000006757,0,0,1,0,0,0,0,0.083435035,-0.202937923,0,-0.366045103,1,-0.40324978
ENSG00000006788,0.277777778,0.111111111,0.5,0.055555556,0.055555556,0,0,0.052177995,-0.202937923,0,2.082379718,0.642857143,-0.40324978
ENSG00000006831,0,0.333333333,0.333333333,0,0,0,0,0.032354361,-0.202937923,0,-0.162009701,1,-0.40324978
ENSG00000006837,0,0.125,0.875,0,0,0,0,0.053084632,-0.202937923,0,1.062202709,1,0.256607361
ENSG00000007001,0.5,0,0,0,0,0,0,0.055838642,-0.202937923,0,-0.570080505,0,-0.40324978
ENSG00000007038,0.666666667,0,0.333333333,0,0,0,0,0.165212488,-0.202937923,0,-0.366045103,0.333333333,-0.40324978
ENSG00000007047,0,0,0.75,0,0,0,0,0.407607688,-0.202937923,0,0.0420257,1,0.256607361
ENSG00000007062,0.166666667,0,0.333333333,0.333333333,0,0,0,1.490404573,-0.202937923,0,0.246061102,0.666666667,0.256607361
ENSG00000007080,0,0,1,0,0,0,0,0.658357492,-0.202937923,0,-0.366045103,1,-0.40324978
ENSG00000007129,0,0.2,0.2,0,0,0,0,0.043093696,-0.202937923,0,-0.162009701,1,-0.40324978
ENSG00000007168,0,0.333333333,0.666666667,0,0,0,0,0.462899196,-0.202937923,0,0.0420257,1,2.236178785
ENSG00000007171,0.363636364,0,0.636363636,0,0,0,0,0.007971697,-0.202937923,0,0.654131906,0.636363636,-0.40324978
ENSG00000007174,0.243243243,0.054054054,0.621621622,0.027027027,0.027027027,0,0,0.123312193,-0.202937923,0,4.122733735,0.71875,-0.40324978
ENSG00000007202,0.466666667,0,0.4,0,0.066666667,0.066666667,0,0.092616228,-0.202937923,0,0.654131906,0.461538462,-0.40324978
ENSG00000007216,0.375,0,0.5,0,0,0,0,1.558743523,-0.202937923,0,0.246061102,0.571428571,-0.40324978
